id;nome;destaque;descricao;imagem
27;PHP;false;Linguagem de programação de uso geral.;"[""./icons/PHP/PHP-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/php.svg""]"
28;OpenAI;false;API de conversação baseada em GPT-3.;"[""./icons/OpenAI/OpenAI-original.svg"",""https://github.com/portfolio-projetos-dev/assets/raw/main/images/openai.svg""]"
29;Vite;false;"Vite (palavra francesa para ""rápido"", pronunciada/vit/, como ""veet"") é uma ferramenta de construção que visa proporcionar uma experiência de desenvolvimento mais rápida e enxuta para projetos web modernos.";"[""./icons/Vite/Vite-original.svg"",""https://vite.dev/logo.svg""]"
30;ESLint;false;O ESLint analisa estaticamente seu código para encontrar problemas rapidamente. Ele está integrado à maioria dos editores de texto e você pode executá-lo como parte do seu pipeline de integração contínua.;"[""./icons/ESLint/ESLint-original.svg"",""https://github.com/IgorBarcelo/ReactIgnite/blob/master/public/eslint.png""]"
31;C#;true;C# é uma linguagem de programação multiparadigma desenvolvida pela Microsoft. É uma linguagem de tipagem forte;"[""./icons/C#/C#-original.svg"",""https://w7.pngwing.com/pngs/240/85/png-transparent-c.png""]"
32;MySQL;false;O MySQL é um dos bancos de dados relacionais de código aberto mais conhecidos do mundo. É usado em muitos aplicativos populares como o WordPress e Drupal.;"[""./icons/MySQL/MySQL-original.svg"",""https://www.citypng.com/public/uploads/preview/hd-mysql-logo-transparent-background-701751694771788209ydqoapx.png""]"
33;HtmlAgilityPack;false;HAP é um analisador HTML escrito em C# para ler/escrever DOM e suporta XPATH ou XSLT simples.;"[""./icons/HtmlAgilityPack/HtmlAgilityPack-original.svg"",""https://html-agility-pack.net/images/logo256X256.png""]"
34;Dapper;false;Dapper é um mapeador relacional de objetos. Ele mapeia objetos . NET a partir de seu aplicativo para um banco de dados relacional (e vice-versa).;"[""./icons/Dapper/Dapper-original.svg"",""https://api.nuget.org/v3-flatcontainer/dapper.entityframework.strongname/2.1.66/icon""]"
35;Styled Components;false;tyled Components é utilizado para a estilização dos componentes.;"[""./icons/Styled Components/Styled Components-original.svg"",""https://corevaluetech.com/assets/illustrations/styled-component.webp""]"
36;React Bootstrap;false;O React-Bootstrap substitui o Bootstrap JavaScript. Cada componente foi criado do zero como um verdadeiro componente React sem dependências desnecessárias como o jQuery.;"[""./icons/React Bootstrap/React Bootstrap-original.svg"",""https://avatars.githubusercontent.com/u/6853419?s=200&v=4""]"
37;SQLAlchemy;false;SQLAlchemy é uma biblioteca Python que permite a interação com bancos de dados SQL.;"[""./icons/SQLAlchemy/SQLAlchemy-original.svg"",""https://camo.githubusercontent.com/6660713abc1096f86691aa19d73e04d22a2ae4a60d9348271c0a3aafe8c8d482/68747470733a2f2f6873746f2e6f72672f67657470726f2f686162722f706f73745f696d616765732f3434622f6432632f6339382f34346264326363393866326361366535643638396632316337373263653536652e706e67""]"
38;Pandas;false;Pandas é uma biblioteca de código aberto para a linguagem Python que permite manipular e analisar dados. É uma das bibliotecas mais populares para análise de dados em Python. ;"[""./icons/Pandas/Pandas-original.svg"",""https://4008838.fs1.hubspotusercontent-na1.net/hubfs/4008838/pandas-logo.png""]"
39;Nuxt 3;false;Crie aplicativos web de alta qualidade com o Nuxt o framework de código aberto que torna o desenvolvimento full-stack com Vue.js intuitivo.;"[""./icons/Nuxt 3/Nuxt 3-original.svg"",""https://github.com/IgorBarcelo/controle-financeiro/blob/main/public/nuxt.png""]"
40;.NET;true;.NET é uma estrutura gratuita de código aberto e multiplataforma para criar aplicativos modernos e serviços de nuvem poderosos.;"[""./icons/.NET/.NET-original.svg"",""https://images.seeklogo.com/logo-png/27/1/net-logo-png_seeklogo-273162.png""]"
41;Jest;false;Jest é um poderoso Framework de Testes em JavaScript com um foco na simplicidade. Funciona com projetos usando: Babel, TypeScript;"[""./icons/Jest/Jest-original.svg"",""https://github.com/IgorBarcelo/react-ecommerce/blob/main/public/jest.png""]"
42;Flask;false;Flask é um framework Python que permite criar aplicações web,  APIs e microsserviços. É conhecido por ser simples.;"[""./icons/Flask/Flask-original.svg"",""https://miro.medium.com/v2/resize:fit:640/format:webp/1*dQvABiWzbE28OTPYjzElKw.png""]"
43;SQLite;false;SQLite é uma biblioteca em linguagem C que implementa um mecanismo de banco de dados SQL pequeno e rápido.;"[""./icons/SQLite/SQLite-original.svg"",""https://logospng.org/wp-content/uploads/sqlite.png""]"
44;Beautiful Soup;false;Beautiful Soup é uma biblioteca que facilita a extração de informações de páginas da web. Ela fica sobre um analisador HTML ou XML fornecendo linguagens Python para iterar.;"[""./icons/Beautiful Soup/Beautiful Soup-original.svg"",""https://miro.medium.com/v2/resize:fit:1100/format:webp/0*oN9jA-Ad3mRlPAYy.png""]"
45;Axios;false;Axios é um cliente HTTP simples baseado em promessas para navegador e node.js. O Axios oferece uma biblioteca simples de usar em um pacote pequeno com uma interface bastante extensível.;"[""./icons/Axios/Axios-original.svg"",""https://axios-http.com/assets/logo.svg""]"
46;Requests;false;A biblioteca Requests do Python é uma ferramenta que simplifica a interação com a web e o envio de requisições HTTP;"[""./icons/Requests/Requests-original.svg"",""https://upload.wikimedia.org/wikipedia/commons/a/aa/Requests_Python_Logo.png""]"
